id,documentId,name,type,phone,whatsapp,openingHour,address,nonStop,latitude,longitude,promoted,createdAt,updatedAt,publishedAt,locale
9934,hzwb6otomschu8gk40i58ufy,Aran 690 Biləsuvar,PHARMACY,+994252950297;+994554558968,,8:00-23:00/7,"Biləsuvar şəh., H.Əliyev pr., 40E",False,39.45453009,48.54693637,False,2025-06-04T20:13:06.829Z,2025-11-19T12:56:26.160Z,2025-11-19T12:56:26.598Z,az
9981,o6qo2676vpmwdaym97v9exxl,Buta Əhmədli 62,PHARMACY,+994552057791;+994123726652,,9:00-23:00/7,"Bakı şəh., Xətai ray., Nəsrəddin Tusi küç., 29",False,40.36712662,49.96228241,False,2025-06-04T20:13:03.945Z,2025-11-19T12:56:27.284Z,2025-11-19T12:56:27.694Z,az
10046,o392rapdz13uwhzzy5fsusk4,Nəsir 500 Aptek,PHARMACY,+994554558143;+994125144825,,24/7,"Bakı şəh., Nərimanov ray., A.Məmmədov küç., 30",True,40.39410832,49.88123968,False,2025-06-04T20:13:08.500Z,2025-11-19T12:56:29.338Z,2025-11-19T12:56:30.163Z,az
10094,ao5xq6hdxgg6m4iqfpa53kvv,Oskar,PHARMACY,+994554558574;+994125604720,,9:00-23:00/7,"Bakı şəh., Binaqədi ray., Mir Cəlal küç., 72",False,40.42100284,49.81487989,False,2025-06-04T20:13:03.877Z,2025-11-19T12:56:30.983Z,2025-11-19T12:56:31.261Z,az
9930,m0m8o7xh8oskopkuwsp6o7nb,Dokta 1085 Xaçmaz,PHARMACY,+994557271570,,,"Xaçmaz şəh., N.Nərimanov küç.",False,41.46183316,48.79955428,False,2025-06-04T20:13:08.920Z,2025-11-19T12:56:26.008Z,2025-11-19T12:56:26.500Z,az
9957,he0dr4iy0j0bhgxginb723ud,Aloe Bravo Yeni Günəşli,PHARMACY,+994552043366,,9:00-22:00/7,"Bakı şəh., Suraxanı ray., Yeni Günəşli qəs, İlqar Musayev küç.",False,40.3870383,49.97542582,False,2025-06-04T20:13:07.432Z,2025-11-19T12:56:26.783Z,2025-11-19T12:56:27.174Z,az
9982,f15fhswsf0z3z353haif8a29,Dokta  1029  Lənkəran,PHARMACY,+994506272423;+994252543392,,,"Lənkəran şəh., Nizami küç., 87",False,38.75874391,48.8377192,False,2025-06-04T20:13:09.515Z,2025-11-19T12:56:27.558Z,2025-11-19T12:56:27.768Z,az
10102,lcsg9c2uiupi28q4k24tug8j,Kanon AS Gəncə,PHARMACY,+994554559068;+994222651242,,8:00-23:00/7,"Gəncə şəh., 4-cü mkr, M.Xələfov küç., 18 A",False,40.69642667,46.38263353,False,2025-06-04T20:13:04.062Z,2025-11-19T12:56:31.162Z,2025-11-19T12:56:31.453Z,az
10123,ijbg6j4ok8hm0ta5itowbxmb,Dokta 301 OKİ Qusar,PHARMACY,+994507239802;+994233852915,,8:00-18:00/7,"Qusarı şəh., F.Musayev küç., 27",False,41.42579152,48.43100386,False,2025-06-04T20:13:04.155Z,2025-11-19T12:56:31.645Z,2025-11-19T12:56:31.897Z,az
9927,i1vskma3igfpzmctrzblcwv7,Buta FHN,PHARMACY,+994552136766;+994125692570,,9:00-22:30/7,"Bakı şəh., Binəqədi ray., 9-cu mkr, A.Məmmədov küç., 34",False,40.420311,49.808555,False,2025-06-04T20:13:03.898Z,2025-11-19T12:56:25.834Z,2025-11-19T12:56:26.357Z,az
9989,epktorpx9loq9ijusalhdn30,Aloe Bravo Sumqayıt,PHARMACY,+994992044405,,9:00-22:00/7,"Sumqayıt şəh., Ü.Hacıbəyov küç., 2",False,40.57360597,49.69117393,False,2025-06-04T20:13:07.438Z,2025-11-19T12:56:27.467Z,2025-11-19T12:56:27.921Z,az
10060,uvkdvn2ez4bxuelz75lgs0qv,Aloe Bravo Oazis,PHARMACY,+994552043388,,9:00-22:00/7,"Bakı şəh., Binəqədi ray., Ş.Məmmədova küç., ev 2",False,40.41971509,49.84704915,False,2025-06-04T20:13:07.561Z,2025-11-19T12:56:30.032Z,2025-11-19T12:56:30.423Z,az
9873,mokqs9ui7070uct0461zog3n,Zeytun metro Elmlər Akademiyası,PHARMACY,+994502731191,,8:00-23:00/7,"Bakı şəh., Yasamal ray., H.Cavid pr. (metronun içi- Elmlər Akamediyası tərəfindən əsas girişi)",False,40.375185,49.815446,False,2025-06-04T20:13:04.030Z,2025-11-19T12:56:23.260Z,2025-11-19T12:56:23.715Z,az
9958,qxz88lbcwbff5r30pbdxoslq,Ferromed,PHARMACY,+994554558597;+994123234364,,9:00-23:00/7,"Bakı şəh., Nizami ray., Q.Qarayev pros., ev 26",False,40.41764896,49.9320668,False,2025-06-04T20:13:07.417Z,2025-11-19T12:56:26.910Z,2025-11-19T12:56:27.200Z,az
9983,jgzwf3oxckgz2wavvg864zto,NAR,PHARMACY,+994554555832;+994125648786,,8:00-23:00/7,"Bakı şəh., Nərimanov ray., A.Nemətulla küç., 63",False,40.40766434,49.86792345,False,2025-06-04T20:13:03.967Z,2025-11-19T12:56:27.470Z,2025-11-19T12:56:27.788Z,az
10023,q4dsltipb8hm1udwm9jqdxn5,Kanon Masallı 1,PHARMACY,+994212555505;+994554555875,,8:00-22:00/7,"Masallı şəh., 20 Yanvar küç.",False,38.75478726,48.85219478,False,2025-06-04T20:13:07.186Z,2025-11-19T12:56:28.966Z,2025-11-19T12:56:29.357Z,az
9935,j0gzs62i9b6xnag3lwatm363,Buta 20-ci sahə,PHARMACY,+994552058100;+994125812991,,9:00-23:00/7,"Bakı şəh., Səbail ray., Salyan dön., 2a",False,40.33000078,49.8192056,False,2025-06-04T20:13:03.827Z,2025-11-19T12:56:26.188Z,2025-11-19T12:56:26.620Z,az
10038,gxnbclf7eeembw21efolqdk3,İmmuno 740 İmişli,PHARMACY,+994554559057;+994212461007,,8:00-23:00/7,"İmişli şəh., H.Əliyev pr., 164 A",False,39.86988,48.060489,False,2025-06-04T20:13:04.020Z,2025-11-19T12:56:29.700Z,2025-11-19T12:56:30.047Z,az
9906,eidtqcez9ta49pr0wpowniqo,Kanon Stimol Sumqayıt,PHARMACY,+994554558563;+994186443583,,9:00-22:00/7,"Sumqayıt şəh., 2-ci  mkr, Sülh küç.",False,40.58688929,49.67082161,False,2025-06-04T20:13:03.953Z,2025-11-19T12:56:24.784Z,2025-11-19T12:56:25.482Z,az
9945,efj78u4loo4rgirq3tvhe97a,Zeytun metro Koroğlu,PHARMACY,+994512501929,,8:00-23:00/7,"Bakı şəh., Nizami ray., H.Əliyev pr.",False,40.42095829,49.9183988,False,2025-06-04T20:13:03.975Z,2025-11-19T12:56:25.900Z,2025-11-19T12:56:26.815Z,az
10129,vpthhlqnhlm699kqpup7mii9,Aloe Lermontov,PHARMACY,+994992044408,+994992044408,9:00-22:00/7,"Bakı şəh., Səbail ray., Lermontov küç., 121",False,40.36616964,49.8302428,False,2025-06-04T20:13:08.967Z,2025-11-19T12:56:31.831Z,2025-11-19T12:56:32.092Z,az
